SpecNo,MaterialCode,MaterialCodeIfs,SupplierName,Revision
CCL-SPEC-QC076,W8/RH0T/HDS/T2,,Công ty TNHH UPM (Việt Nam),R03
CCL-SPEC-QC077,HGK/RP5X/GZI,,Công ty TNHH UPM (Việt Nam),R03
CCL-SPEC-QC078,LEXAN 8B35V-112 T0.127,,"Innox higa Singapore Pte.,Ltd",R03
CCL-SPEC-QC081,FCG/RP5X/GZI,,Công ty TNHH UPM (Việt Nam),R03
CCL-SPEC-QC082,MUF/RR22/GZI,,Công ty TNHH UPM (Việt Nam),R03
CCL-SPEC-QC099,HAL-W-OJI ( CPWG-J1008 F ),,Công Ty Cổ Phần Vũ Hoàng Minh,R03
CCL-SPEC-QC121,PET-SH02 T0.188,,P.T.S International,R03
CCL-SPEC-QC122,PET-SH02 T0.25,,P.T.S International,R03
CCL-SPEC-QC123,SJ450,,P.T.S International,R03
CCL-SPEC-QC127,25u Total transfer tamper evident material,,"UNIMARK TECHNOLOGY CO., LIMITED",R03
CCL-SPEC-QC131,PET-SH02 T0.125,,P.T.S International,R03
CCL-SPEC-QC144,HS-7700P,,VIỆT HÀN,R03
CCL-SPEC-QC145,HS-405W,,VIỆT HÀN,R03
CCL-SPEC-QC146,HS-SW200,,VIỆT HÀN,R03
CCL-SPEC-QC147,HS-7706P,,VIỆT HÀN,R03
CCL-SPEC-QC148,ART E PW 8K,,LINTEC,R03
CCL-SPEC-QC150,KES25N MATT NPL 7LK#,,LINTEC,R03
CCL-SPEC-QC151,YUPO80(UV) PA10 8LK,,LINTEC,R03
CCL-SPEC-QC152,YUPO80(UV) PAT1 8LK,,LINTEC,R03
CCL-SPEC-QC155,KES65WA PAT1 8K,,LINTEC,R03
CCL-SPEC-QC167,CQ-2501AS,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC168,336TXV-E1a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC169,346T-J1a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC170,301T-H12,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC171,336T-AT1,,"CCL Design (Haian) Co., Ltd",R03
